formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
AlCuO2,1.7978,-2.417254424999987,4,39.506645076679426,5.150013923534142,9.876661269169857,3,2.3166666666666664,1.8299999999999998,35.50897953333333,3.0,13.333333333333334
AlCuS2,1.254299999999999,-0.859134065156249,4,67.90052279322231,3.782222501148955,16.975130698305577,3,2.03,0.97,40.864179533333335,3.3333333333333335,13.333333333333334
AlCuS2,1.6756,-0.963132853906248,8,146.4276622938292,3.5077372830410294,18.30345778672865,3,2.03,0.97,40.864179533333335,3.3333333333333335,13.333333333333334
AlCuSe2,0.8921999999999991,-0.7563341932812491,8,172.56789465764706,4.781385845157008,21.570986832205882,3,2.02,0.9399999999999997,56.495846199999995,3.6666666666666665,13.333333333333334
AlCuTe2,1.0186,-0.42519420625000104,8,218.71279783515297,5.249753016095111,27.33909972939412,3,1.8699999999999999,0.49,72.70917953333333,4.0,13.333333333333334
AlGa3N4,2.180799999999999,-0.9113563118750001,8,89.41568612393719,5.4260265377361305,11.176960765492149,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
AlGa3N4,2.2393,-0.9194223406250011,8,89.36426022681383,5.429149019607631,11.170532528351728,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
AlGaAs2,0.700499999999999,-0.537332601249999,4,91.21657145338672,4.488243153365913,22.80414286334668,3,1.8666666666666665,0.5700000000000001,57.208712866666666,3.6666666666666665,13.666666666666666
AlGaN2,2.6642,-1.160212889375,4,43.64164186160555,4.745444965091115,10.910410465401387,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
AlGaN2,2.719999999999999,-1.167687759374999,4,43.66723617183429,4.742663557306752,10.916809042958572,3,2.1533333333333333,1.43,36.9037462,3.0,13.666666666666666
AlGaP2,1.6344,-0.619710738988095,4,81.51786118779647,3.2317818999829293,20.379465296949117,3,1.8699999999999999,0.5799999999999998,42.55943353333333,3.3333333333333335,13.666666666666666
AlGaPd2,0.6435999999999991,1.148549383749998,4,777.0790634412053,0.6614652537926798,194.26976586030133,3,1.8733333333333333,0.5900000000000001,67.70817953333334,4.0,12.0
AlH3,2.197699999999999,-0.073632082812499,8,65.66805385043641,1.5174827731528266,8.208506731304551,2,1.9050000000000002,0.5900000000000001,13.9947393,2.0,7.0
AlInN2,1.6253000000000002,-0.862999876875001,8,104.47793031916136,5.397905913564933,13.05974128989517,3,2.143333333333333,1.43,51.93541286666667,3.3333333333333335,13.666666666666666
AlInO3,2.162,-2.675649130333332,10,112.28447654040944,5.61371562389645,11.228447654040945,3,2.276666666666667,1.8299999999999998,52.5996462,3.3333333333333335,14.0
